 	tampines mall	,	14800	
 	takashimaya singapore	,	4400	
 	ang mo kio hub	,	5400	
 	bras basah complex	,	4400	
 	amk hub cinema	,	2900	
 	takashimaya sale	,	1900	
 	tampines one	,	1900	
 	tampines town council	,	1900	
 	tampines gv	,	1600	
 	tampines mall cinema	,	1900	
 	bras basah mrt station	,	1000	
 	bras basah mrt	,	1600	
 	tampines secondary school	,	1300	
 	tampines rovers	,	590	
 	tampines cinema	,	1600	
 	amk hub directory	,	1300	
 	takashimaya shinjuku	,	110	
 	tampines swimming complex	,	1300	
 	tampines west cc	,	1300	
 	tampines safra	,	1000	
 	takashimaya opening hours	,	1000	
 	ang mo kio hub cinema	,	1000	
 	takashimaya directory	,	880	
 	bukit panjang government high school	,	880	
 	beauty world durham nc	,	0				
 	anchor point alaska	,	10				
 	tampines primary school	,	880	
 	tampines library	,	880	
 	tampines east cc	,	880	
 	beauty world centre	,	880	
 	takashimaya tokyo	,	90	
 	albert court village hotel	,	480	
 	tampines central cc	,	720	
 	tampines jc	,	720	
 	tampines mrt	,	720	
 	bukit panjang cc	,	720	
 	tampines ikea	,	720	
 	bukit panjang lrt	,	880	
 	alberta court of appeal	,	10				
 	tampines north cc	,	590	
 	tampines north primary school	,	590	
 	tampines mart	,	590	
 	bukit panjang mrt	,	590	
 	bras basah popular	,	590	
 	beauty world plaza	,	590	
 	tampines mall food	,	590	
 	tampines one directory	,	480	
 	takashimaya voucher	,	590	
 	tampines mall parking	,	480	
 	tampines gym	,	590	
 	tampines rovers fc	,	110	
 	takashimaya department store	,	260	
 	tampines changkat cc	,	480	
 	takashimaya osaka	,	40	
 	takashimaya nyc	,	20	
 	albert court singapore	,	70	
 	beauty world hours	,	10	
 	tampines round market	,	480	
 	takashimaya food	,	590	
 	takashimaya card	,	210	
 	tampines trilliant	,	480	
 	tampines town hub	,	390	
 	tampines greenleaf	,	390	
 	tampines regional library	,	480	
 	beauty world greenville nc	,					
 	tampines interchange	,	390	
 	anchor point singapore	,	320	
 	amk hub food	,	480	
 	takashimaya japan	,	90	
 	takashimaya online	,	90	
 	takashimaya kyoto	,	20	
 	tampines food	,	390	
 	ang mo kio hub directory	,	320	
 	takashimaya times square	,	20	
 	beauty world tv series	,	40	
 	takashimaya restaurants	,	320	
 	tampines clinic	,	320	
 	tampines post office	,	320	
 	tampines giant	,	320	
 	takashimaya promotion	,	320	
 	tampines bus interchange	,	320	
 	tampines eco green	,	320	
 	tampines grande	,	320	
 	albert court hotel	,	210	
 	tampines plaza	,	260	
 	tampines cpf building	,	260	
 	takashimaya events	,	260	
 	amk hub movie	,	260	
